Date;Open;High;Low;Close*;Adj Close**;Volume
Jan 09, 2017;424.75;428.25;421.00;427.25;427.25;69,623
Jan 06, 2017;425.75;428.00;421.75;423.25;423.25;64,726
Jan 05, 2017;418.75;427.00;416.25;426.25;426.25;86,772
Jan 04, 2017;406.50;419.00;404.75;418.50;418.50;59,201
Jan 03, 2017;408.75;414.00;405.75;406.50;406.50;65,585
Dec 30, 2016;404.75;409.25;403.50;408.00;408.00;33,934
Dec 29, 2016;402.50;406.75;402.50;404.75;404.75;29,865
Dec 28, 2016;409.75;410.00;400.25;401.50;401.50;43,964
Dec 27, 2016;394.50;411.00;394.50;409.50;409.50;67,774
Dec 23, 2016;397.00;398.25;392.75;393.50;393.50;31,852
Dec 22, 2016;399.25;400.50;396.50;397.00;397.00;37,047
Dec 21, 2016;402.50;404.50;399.00;399.50;399.50;32,138
Dec 20, 2016;406.00;407.75;400.25;403.25;403.25;35,449
Dec 19, 2016;412.25;413.00;403.00;405.00;405.00;52,115
Dec 16, 2016;407.75;411.00;404.50;409.25;409.25;47,32
Dec 15, 2016;418.00;418.25;408.50;409.25;409.25;61,058
Dec 14, 2016;397.25;397.25;391.50;391.50;391.50;39,165
Dec 13, 2016;400.50;404.00;398.00;398.00;398.00;34
Dec 12, 2016;397.75;401.25;397.50;401.25;401.25;25
Dec 09, 2016;395.50;400.25;395.50;400.25;400.25;10
Dec 08, 2016;396.50;396.50;389.75;390.75;390.75;34
Dec 07, 2016;389.00;389.00;385.00;386.25;386.25;257
Dec 06, 2016;393.00;393.00;388.25;389.50;389.50;95
Dec 05, 2016;389.75;394.00;389.25;389.25;389.25;379
Dec 02, 2016;373.00;387.50;371.50;387.50;387.50;724
Dec 01, 2016;376.50;379.75;369.50;371.50;371.50;1,549
Nov 30, 2016;384.25;391.50;380.00;380.50;380.50;4,932
Nov 29, 2016;389.00;389.00;382.75;384.00;384.00;40,687
Nov 28, 2016;396.25;397.00;388.75;389.50;389.50;57,169
Nov 25, 2016;401.75;403.75;394.50;395.75;395.75;46,044
Nov 23, 2016;407.00;407.25;396.25;401.50;401.50;64,716
Nov 22, 2016;410.00;412.25;405.25;407.25;407.25;56,798
Nov 21, 2016;409.00;412.00;404.50;410.25;410.25;57,584
Nov 18, 2016;403.00;410.00;400.25;408.00;408.00;53,488
Nov 17, 2016;397.75;406.00;396.50;403.00;403.00;60,284
Nov 16, 2016;399.25;401.00;396.75;397.00;397.00;70,18
Nov 15, 2016;394.00;402.00;392.75;399.00;399.00;73,26
Nov 14, 2016;402.75;403.75;392.50;394.00;394.00;80,273
Nov 10, 2016;409.50;414.25;402.00;404.75;404.75;105,341
Nov 09, 2016;416.50;417.75;403.75;406.75;406.75;131,826
Nov 08, 2016;410.50;419.75;408.25;415.25;415.25;132,281
Nov 07, 2016;414.25;415.75;406.50;410.00;410.00;79,192
Nov 04, 2016;414.00;415.25;410.25;414.25;414.25;46,124
Nov 03, 2016;417.50;420.00;409.00;412.00;412.00;70,194
Nov 02, 2016;414.50;420.25;412.00;417.75;417.75;77,145
Nov 01, 2016;416.25;418.25;410.75;414.25;414.25;76,666
Oct 31, 2016;411.50;417.00;408.75;416.25;416.25;69,456
Oct 28, 2016;416.25;417.50;407.25;408.50;408.50;45,84
Oct 27, 2016;411.50;418.75;411.25;414.50;414.50;62,056
Oct 26, 2016;404.00;414.00;402.75;411.50;411.50;71,491
Oct 25, 2016;403.75;406.75;398.75;404.25;404.25;61,13
Oct 24, 2016;414.25;416.75;400.75;402.50;402.50;82,892
Oct 21, 2016;417.00;418.50;413.25;414.50;414.50;38,986
Oct 20, 2016;419.50;422.75;415.25;417.00;417.00;49,984
Oct 19, 2016;420.50;422.25;413.00;420.25;420.25;61,517
Oct 18, 2016;425.00;425.50;418.25;420.00;420.00;60,252
Oct 17, 2016;418.25;425.75;416.00;423.75;423.75;68,644
Oct 14, 2016;415.25;428.25;414.75;421.00;421.00;105,412
Oct 13, 2016;396.50;417.00;396.50;416.00;416.00;108,555
Oct 12, 2016;405.25;414.00;396.00;396.75;396.75;96,067
Oct 11, 2016;402.75;408.75;401.25;407.25;407.25;69,906
Oct 07, 2016;397.75;401.00;394.25;394.75;394.75;61,77
Oct 06, 2016;407.00;409.50;393.50;395.75;395.75;82,996
Oct 05, 2016;395.00;408.50;392.00;405.00;405.00;82,177
Oct 04, 2016;396.50;398.25;392.50;395.50;395.50;41,951
Oct 03, 2016;399.75;401.75;391.50;395.50;395.50;73,01
